appid,title,price_usd,is_free,coming_soon,early_access,release_date,genres,categories,review_count,dlc_count,required_age,windows,mac,linux,supported_languages,achievements,developer,publisher,short_desc,review_polarization,success,owners_estimate
314560,Kyn,9.99,False,False,False,"Jul 28, 2015",Action;Adventure;Indie;RPG,Single-player;Steam Achievements;Family Sharing,155,0,0.0,True,False,False,2,49,Tangrin Entertainment,Versus Evil,"In a world where Viking mythology collides with magic, explore the world of KYN in a fast paced role playing strategy game that combines party based combat with exploration and progression.",0.8269230769230769,0,"100,000 .. 200,000"
890720,In Other Waters,14.99,False,False,False,"Apr 3, 2020",Adventure;Indie,Single-player;Mouse Only Option;Playable without Timed Input;Save Anytime;Stereo Sound;Touch Only Option;Partial Controller Support;Family Sharing,2267,2,0.0,True,True,False,3,0,Jump Over The Age,Fellow Traveller,"Play as an Artificial Intelligence guiding a stranded xenobiologist through a beautiful and mysterious alien ocean. A non-violent sci-fi story, enter a world of wonder, fear and vulnerability, unraveling the history and ecology of an impossible planet. What will you discover together?",0.259700176366843,0,"100,000 .. 200,000"
200170,Worms Revolution,14.99,False,False,False,"Oct 10, 2012",Strategy,Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards;Remote Play Together;Family Sharing,8772,5,0.0,True,False,False,8,34,Team17 Digital Ltd,Team17 Digital Ltd,Worms™ Revolution is the latest game in the classic turn-based strategy series to come to the PC.,0.25681066909837,0,"200,000 .. 500,000"
718590,Dark Devotion,19.99,False,False,False,"Apr 25, 2019",Action;Adventure;Casual;Indie;RPG,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Family Sharing,2344,1,0.0,True,False,False,10,45,Hibernian Workshop,The Arcade Crew,"Explore the secrets of a mysterious fallen temple and put your Templar faith to the test in Dark Devotion, where no sacrifice is too great in praise of your God.",0.4968017057569296,0,"100,000 .. 200,000"
2396980,Fate/stay night REMASTERED,29.99,False,False,False,"Aug 7, 2024",Adventure,Single-player;Steam Achievements;Full controller support;Steam Cloud;Family Sharing,3143,0,0.0,True,False,False,3,30,TYPE-MOON,Aniplex Inc.,Seek the root of the Fate franchise. Return to where it all began.,0.0823791348600508,1,"50,000 .. 100,000"
1036890,Shadow Warrior 3: Definitive Edition,39.99,False,False,False,"Mar 1, 2022",Action;Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Family Sharing,5100,0,0.0,True,False,False,11,38,Flying Wild Hog,Devolver Digital,"Take an adrenaline-fueled journey through a mythical Japanese realm in the Definitive Edition of Shadow Warrior 3, packed with new features, and enjoy an ultraviolent blend of fast-paced gunplay, razor-sharp melee combat, and spectacular free-running movement.",0.630268574789257,0,"500,000 .. 1,000,000"
73060,Defenders of Ardania,0.0,False,False,False,"Mar 14, 2012",Strategy,Single-player;Multi-player;Family Sharing,120,0,0.0,True,False,False,5,12,Most Wanted Entertainment,Paradox Interactive,"A next-generation tower defense game set in the rich fantasy world of Majesty, but with a twist.",0.7024793388429752,0,"20,000 .. 50,000"
240,Counter-Strike: Source,9.99,False,False,False,"Nov 1, 2004",Action,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Camera Comfort;Color Alternatives;Custom Volume Controls;Stereo Sound;Subtitle Options;Surround Sound;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Family Sharing,182234,0,0.0,True,False,True,12,147,Valve,Valve,Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source™ technology.,0.0747221993579718,1,"10,000,000 .. 20,000,000"
528160,Solstice Chronicles: MIA,14.99,False,False,False,"Jul 26, 2017",Action,Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Remote Play Together;Family Sharing,310,1,0.0,True,False,False,4,21,Ironward,Ironward,"In this 2-player twin-stick shooter, use a friendly drone for a game-changing abilities. Survive waves, upgrade, and uncover the mystery in this cooperative, action-packed experience.",0.5112540192926045,0,"20,000 .. 50,000"
1491710,CRIMESIGHT,0.0,False,False,False,"Apr 14, 2022",Simulation;Strategy,Multi-player;PvP;Online PvP;Co-op;Online Co-op;Steam Achievements;Family Sharing,693,0,0.0,True,False,False,11,27,Konami Digital Entertainment,Konami Digital Entertainment,"In CRIMESIGHT, test your wits against others in a cutting-edge simulation of a crime yet to be committed! Will you help the mastermind criminal AI Moriarty commit nefarious deeds? Or will you aid the detective AI Sherlock in his first-rate ability to prevent crime? The choice is yours!",0.6037463976945245,0,"20,000 .. 50,000"
